Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.606510993	6.79825592	-18.17252541	NaN
0.606522562	6.79399395	-18.17252541	NaN
0.606534147	6.771347046	-18.17252541	NaN
0.606545732	6.778999329	-18.17252541	NaN
0.606557316	6.761924267	-18.17252541	NaN
0.606568865	6.780219555	-18.17252541	NaN
0.60658044	6.766317368	-18.17252541	NaN
0.606592017	6.787032604	-18.17252541	NaN
0.606603589	6.761403561	-18.17252541	NaN
0.606615183	6.784178734	-18.17252541	NaN
0.606626743	6.770534992	-18.17252541	NaN
0.606638327	6.793669701	-18.17252541	NaN
0.606649887	6.787380695	-18.17252541	NaN
0.606661493	6.807060242	-18.17252541	NaN
0.606673047	6.801234245	-18.17252541	NaN
0.6066846	6.807839394	-18.17252541	NaN
0.606696185	6.816987038	-18.17252541	NaN
0.606707793	6.790323257	-18.17252541	NaN
0.606719354	6.746304035	-18.17252541	NaN
0.606730914	6.74861002	-18.17252541	NaN
0.606742506	6.748834133	-18.17252541	NaN
0.606754082	6.747205734	-18.17252541	NaN
0.606765649	6.750230789	-18.17252541	NaN
0.606777202	6.719596863	-18.17252541	NaN
0.606788813	6.732241631	-18.17252541	NaN
0.606800377	6.73318243	-18.17252541	NaN
0.606811952	6.756593227	-18.17252541	NaN
0.60682352	6.716496944	-18.17252541	NaN
0.606835092	6.729720116	-18.17252541	NaN
0.606846676	6.686594486	-18.17252541	NaN
0.606858248	6.724740505	-18.17252541	NaN
0.606869813	6.701989651	-18.17252541	NaN
0.606881391	6.720107555	-18.17252541	NaN
0.606892975	6.709739208	-18.17252541	NaN
0.606904546	6.724819183	-18.17252541	NaN
0.606916119	6.717105866	-18.17252541	NaN
0.6069277	6.720308781	-18.17252541	NaN
0.606939246	6.708867073	-18.17252541	NaN
0.606950817	6.734538555	-18.17252541	NaN
0.606962423	6.694115162	-18.17252541	NaN
0.606973978	6.709848404	-18.17252541	NaN
0.606985552	6.662450314	-18.17252541	NaN
0.606997128	6.69636488	-18.17252541	NaN
0.607008737	6.664803982	-18.17252541	NaN
0.60702029	6.682665348	-18.17252541	NaN
0.60703184	6.685477734	-18.17252541	NaN
0.607043435	6.699076653	-18.17252541	NaN
0.607055016	6.714570999	-18.17252541	NaN
0.607066607	6.714204311	-18.17252541	NaN
0.60707817	6.713449955	-18.17252541	NaN
0.607089744	6.697794437	-18.17252541	NaN
0.607101291	6.685002327	-18.17252541	NaN
0.607112877	6.681542397	-18.17252541	NaN
0.607124438	6.674160957	-18.17252541	NaN
0.607136025	6.684596539	-18.17252541	NaN
0.607147614	6.674221993	-18.17252541	NaN
0.607159175	6.661700249	-18.17252541	NaN
0.607170754	6.680602074	-18.17252541	NaN
0.607182329	6.675195694	-18.17252541	NaN
0.607193928	6.797462463	-18.17252541	NaN
0.607205475	6.641791821	-18.17252541	NaN
0.607217058	6.62957859	-18.17252541	NaN
0.607228648	6.593018055	-18.17252541	NaN
0.607240215	6.631921291	-18.17252541	NaN
0.607251777	6.626953602	-18.17252541	NaN
0.607263347	6.638694286	-18.17252541	NaN
0.607274917	6.619695187	-18.17252541	NaN
0.607286527	6.624535084	-18.17252541	NaN
0.607298088	6.591609001	-18.17252541	NaN
0.607309658	6.616476059	-18.17252541	NaN
0.607321227	6.587901592	-18.17252541	NaN
0.607332785	6.644556522	-18.17252541	NaN
0.607344364	6.619279385	-18.17252541	NaN
0.607355937	6.646719456	-18.17252541	NaN
0.607367517	6.612174034	-18.17252541	NaN
0.607379101	6.629473209	-18.17252541	NaN
0.607390661	6.595754147	-18.17252541	NaN
0.607402241	6.624237061	-18.17252541	NaN
