Day fraction since midnight on 	pH probe (pH)	Source Pressure (Pa)	air valve control ()
0.638027782	3.657559395	-18.17252541	NaN
0.63803937	3.666579247	-18.17252541	NaN
0.638050917	3.661700726	-18.17252541	NaN
0.638062499	3.684274197	-18.17252541	NaN
0.638074094	3.670000315	-18.17252541	NaN
0.638085662	3.693371773	-18.17252541	NaN
0.638097222	3.686131001	-18.17252541	NaN
0.638108799	3.700698853	-18.17252541	NaN
0.638120366	3.690220833	-18.17252541	NaN
0.638131936	3.706856489	-18.17252541	NaN
0.638143502	3.695395708	-18.17252541	NaN
0.638155083	3.709202051	-18.17252541	NaN
0.638166674	3.700109005	-18.17252541	NaN
0.638178254	3.715047121	-18.17252541	NaN
0.638189818	3.706373215	-18.17252541	NaN
0.638201385	3.721510649	-18.17252541	NaN
0.638212964	3.713376761	-18.17252541	NaN
0.638224541	3.723379374	-18.17252541	NaN
0.638236107	3.714249134	-18.17252541	NaN
0.638247676	3.724208832	-18.17252541	NaN
0.638259245	3.714792728	-18.17252541	NaN
0.638270846	3.720919371	-18.17252541	NaN
0.638282397	3.716094494	-18.17252541	NaN
0.638293978	3.72520256	-18.17252541	NaN
0.63830556	3.719373703	-18.17252541	NaN
0.638317128	3.719051123	-18.17252541	NaN
0.638328699	3.717130899	-18.17252541	NaN
0.638340276	3.718664885	-18.17252541	NaN
0.638351842	3.712400913	-18.17252541	NaN
0.638363434	3.714773893	-18.17252541	NaN
0.638375003	3.718252182	-18.17252541	NaN
0.638386589	3.712866545	-18.17252541	NaN
0.638398158	3.715865374	-18.17252541	NaN
0.638409723	3.709269762	-18.17252541	NaN
0.638421296	3.703422546	-18.17252541	NaN
0.638432877	3.675840378	-18.17252541	NaN
0.638444441	3.678304911	-18.17252541	NaN
0.63845602	3.654087067	-18.17252541	NaN
0.638467603	3.656665564	-18.17252541	NaN
0.638479168	3.632777453	-18.17252541	NaN
0.638490762	3.632189989	-18.17252541	NaN
0.638502301	3.60049367	-18.17252541	NaN
0.638513912	3.623974562	-18.17252541	NaN
0.638525458	3.602443218	-18.17252541	NaN
